gender,job,industry,age,total_spending,average_spending,number_of_transaction
1,2,1,25,90000,90000.0,1
0,2,8,26,180000,90000.0,2
0,0,3,31,90000,90000.0,1
0,2,3,25,180000,90000.0,1
0,0,8,30,180000,90000.0,2
0,2,4,25,90000,90000.0,1
0,0,2,31,315000,105000.0,3
0,1,8,29,90000,90000.0,1
0,4,3,32,180000,90000.0,2
0,0,9,29,90000,90000.0,1
0,0,2,28,90000,90000.0,1
1,1,4,32,90000,90000.0,1
1,1,4,31,225000,112500.0,2
1,0,7,28,90000,90000.0,1
0,0,3,30,360000,90000.0,3
0,4,3,29,90000,90000.0,1
1,3,0,22,90000,90000.0,1
1,3,0,22,90000,90000.0,1
1,2,8,26,90000,90000.0,1
0,0,7,28,315000,315000.0,1
1,3,0,22,45000,45000.0,1
1,2,8,25,225000,112500.0,1
0,0,6,30,270000,135000.0,2
0,3,0,8,1125000,187500.0,5
1,4,6,28,270000,90000.0,3
1,4,1,30,990000,141428.57142857142,6
1,2,7,27,135000,135000.0,1
0,2,5,27,90000,90000.0,1
0,2,9,25,180000,180000.0,1
0,4,9,38,180000,90000.0,2
1,2,7,26,90000,90000.0,1
1,0,6,29,180000,180000.0,1
1,3,0,24,90000,90000.0,1
1,1,3,30,135000,67500.0,2
1,2,3,26,225000,112500.0,2
1,2,6,25,90000,90000.0,1
1,4,5,28,180000,180000.0,1
1,4,5,30,90000,90000.0,1
1,3,0,21,90000,90000.0,1
0,4,2,32,270000,90000.0,1
1,2,6,25,90000,90000.0,1
1,1,5,29,180000,90000.0,2
0,2,3,27,540000,90000.0,6
1,1,2,31,270000,90000.0,3
1,2,6,25,90000,45000.0,2
1,2,9,27,90000,90000.0,1
1,0,6,29,180000,180000.0,1
1,3,0,23,90000,90000.0,1
1,3,0,22,90000,90000.0,1
0,0,9,32,180000,90000.0,2
0,1,5,35,90000,90000.0,1
1,3,0,24,270000,135000.0,2
0,4,5,35,450000,90000.0,3
0,1,3,35,45000,45000.0,1
1,2,4,25,405000,202500.0,2
0,3,0,24,360000,90000.0,3
0,0,4,32,225000,112500.0,2
0,2,7,27,90000,90000.0,1
1,3,0,24,45000,45000.0,1
0,4,1,32,90000,90000.0,1
0,3,0,22,90000,90000.0,1
0,3,0,23,405000,135000.0,3
0,0,8,29,360000,90000.0,3
0,4,1,29,675000,96428.57142857143,4
0,1,1,32,180000,180000.0,1
0,2,2,27,90000,90000.0,1
1,2,9,26,180000,90000.0,2
1,1,4,29,90000,90000.0,1
1,3,0,22,90000,90000.0,1
1,3,0,23,90000,90000.0,1
1,3,0,21,180000,90000.0,2
0,2,9,27,180000,90000.0,2
1,1,1,29,180000,90000.0,2
1,3,0,24,45000,45000.0,1
1,3,0,23,90000,90000.0,1
1,4,3,28,90000,90000.0,1
0,4,9,30,225000,112500.0,2
0,2,1,27,90000,90000.0,1
0,0,6,48,180000,90000.0,2
1,2,7,26,90000,90000.0,1
0,3,0,22,135000,135000.0,1
1,2,7,25,540000,90000.0,5
0,0,2,36,135000,135000.0,1
1,2,9,25,585000,146250.0,3
1,2,1,27,90000,90000.0,1
0,2,1,27,180000,90000.0,2
1,2,1,27,135000,67500.0,1
1,0,2,33,90000,90000.0,1
0,4,4,31,90000,90000.0,1
1,3,0,19,135000,135000.0,1
0,4,5,33,90000,90000.0,1
0,0,2,30,90000,90000.0,1
0,0,4,30,135000,135000.0,1
0,1,2,30,180000,90000.0,2
1,2,9,27,180000,180000.0,1
0,1,8,32,45000,45000.0,1
1,1,2,30,180000,180000.0,1
1,0,8,31,90000,90000.0,1
0,0,6,28,45000,45000.0,1
0,4,8,34,90000,90000.0,1
1,2,2,27,450000,150000.0,3
1,2,9,25,90000,90000.0,1
1,3,0,24,90000,90000.0,1
1,0,8,29,90000,90000.0,1
0,3,0,24,90000,90000.0,1
1,2,9,25,180000,90000.0,2
0,1,4,30,135000,135000.0,1
1,0,8,42,450000,90000.0,4
1,0,4,30,180000,90000.0,2
0,4,8,29,270000,90000.0,3
1,1,9,33,90000,90000.0,1
1,3,0,24,90000,90000.0,1
1,4,2,39,180000,180000.0,1
1,4,5,32,90000,90000.0,1
1,3,0,21,180000,90000.0,2
0,0,3,32,225000,112500.0,2
1,0,7,28,270000,135000.0,2
0,0,7,32,90000,90000.0,1
1,1,1,28,270000,90000.0,2
1,2,8,27,90000,90000.0,1
1,3,0,24,135000,135000.0,1
1,2,4,27,180000,90000.0,2
0,2,4,27,225000,112500.0,2
1,2,2,27,90000,90000.0,1
0,2,8,27,90000,90000.0,1
0,1,5,30,45000,45000.0,1
1,2,8,25,90000,90000.0,1
0,0,7,28,90000,90000.0,1
0,4,8,28,90000,90000.0,1
0,3,0,24,225000,225000.0,1
1,0,9,30,90000,90000.0,1
1,1,9,30,180000,90000.0,2
1,4,4,32,90000,90000.0,1
0,1,1,36,270000,135000.0,2
0,3,0,23,180000,90000.0,2
0,4,5,30,90000,45000.0,2
0,4,5,29,135000,135000.0,1
1,2,8,26,90000,90000.0,1
1,1,1,33,90000,90000.0,1
1,4,2,31,90000,90000.0,1
1,4,2,29,135000,135000.0,1
1,4,5,28,180000,180000.0,1
0,4,5,30,90000,90000.0,1
1,1,1,32,270000,135000.0,2
0,0,6,33,90000,90000.0,1
1,2,6,27,180000,90000.0,2
0,2,9,25,90000,90000.0,1
0,1,6,28,90000,90000.0,1
1,1,2,31,180000,90000.0,2
0,3,0,21,135000,135000.0,1
0,1,5,34,90000,90000.0,1
0,4,2,29,90000,90000.0,1
0,1,2,34,315000,78750.0,3
0,0,4,37,450000,150000.0,3
0,4,5,29,135000,135000.0,1
1,3,0,24,180000,90000.0,2
0,4,5,28,90000,90000.0,1
1,3,0,23,90000,90000.0,1
0,0,7,37,450000,150000.0,3
0,3,0,24,270000,135000.0,2
1,2,6,27,225000,225000.0,1
0,2,8,27,180000,90000.0,2
0,3,0,22,225000,225000.0,1
1,4,7,46,225000,225000.0,1
1,3,0,24,90000,90000.0,1
1,2,3,27,90000,90000.0,1
1,0,1,34,90000,90000.0,1
1,4,5,30,90000,90000.0,1
1,2,6,27,90000,90000.0,1
1,2,3,27,180000,90000.0,2
1,3,0,24,90000,90000.0,1
1,2,5,25,45000,45000.0,1
0,0,6,36,90000,90000.0,1
0,0,4,32,180000,90000.0,2
0,1,8,30,360000,90000.0,4
0,2,2,25,270000,135000.0,2
1,1,6,33,90000,90000.0,1
1,4,7,30,270000,135000.0,2
1,0,9,28,360000,180000.0,2
1,4,7,28,405000,135000.0,1
0,3,0,23,450000,90000.0,5
0,4,3,29,90000,90000.0,1
0,1,4,28,135000,135000.0,1
0,0,3,31,90000,90000.0,1
1,2,6,26,270000,135000.0,2
1,1,7,28,135000,135000.0,1
1,3,0,24,225000,225000.0,1
0,4,4,31,180000,90000.0,1
0,0,5,34,90000,90000.0,1
1,1,8,28,540000,108000.0,4
0,0,1,32,45000,45000.0,1
1,1,5,29,225000,112500.0,2
0,3,0,23,360000,360000.0,1
1,2,6,26,90000,90000.0,1
1,3,0,21,180000,180000.0,1
1,4,2,30,90000,90000.0,1
1,2,4,25,180000,90000.0,2
0,1,3,28,90000,90000.0,1
0,2,6,26,90000,90000.0,1
1,4,6,47,270000,270000.0,1
1,0,6,28,90000,90000.0,1
1,4,6,47,45000,45000.0,1
1,0,2,39,315000,315000.0,1
0,1,8,30,90000,90000.0,1
0,3,0,24,90000,90000.0,1
1,0,9,29,270000,90000.0,3
1,2,6,26,135000,135000.0,1
1,1,9,30,90000,90000.0,1
1,0,9,28,360000,120000.0,3
1,3,0,24,90000,90000.0,1
1,2,9,25,675000,135000.0,4
0,2,2,27,90000,90000.0,1
1,2,4,26,495000,165000.0,3
1,1,1,31,90000,90000.0,1
1,4,1,29,180000,180000.0,1
1,2,4,26,225000,225000.0,1
1,2,9,27,180000,180000.0,1
0,4,6,32,180000,180000.0,1
0,4,1,32,90000,90000.0,1
1,1,6,29,405000,101250.0,4
0,2,1,27,180000,180000.0,1
1,4,3,29,450000,112500.0,4
1,3,0,24,90000,90000.0,1
0,3,0,24,45000,45000.0,1
1,1,1,33,135000,135000.0,1
1,4,1,32,270000,90000.0,3
1,1,3,50,90000,90000.0,1
1,1,8,29,270000,135000.0,2
1,3,0,24,90000,90000.0,1
0,3,0,23,90000,90000.0,1
0,2,9,26,45000,45000.0,1
1,3,0,23,270000,270000.0,1
0,2,3,27,540000,90000.0,5
1,3,0,20,90000,90000.0,1
1,4,4,29,90000,90000.0,1
1,1,3,31,135000,135000.0,1
0,2,5,27,135000,67500.0,2
1,2,5,25,90000,90000.0,1
0,1,8,30,90000,90000.0,1
0,2,5,25,90000,90000.0,1
0,4,9,30,225000,112500.0,1
1,1,8,35,135000,135000.0,1
1,2,9,27,180000,90000.0,2
1,3,0,24,180000,180000.0,1
0,2,3,26,270000,90000.0,3
1,2,7,25,225000,112500.0,2
1,2,5,27,90000,90000.0,1
0,3,0,24,90000,90000.0,1
0,0,3,29,180000,180000.0,1
1,2,9,26,450000,90000.0,3
1,0,4,29,180000,90000.0,2
